Feature,MI
EXP_METTL26 (84326),0.16976743399091632
EXP_DENR (8562),0.1697671041620925
EXP_FTSJ3 (117246),0.16976645413237534
EXP_DHX29 (54505),0.16976488562476977
EXP_BCLAF3 (256643),0.16976169965246157
EXP_PTPN7 (5778),0.16976085935022578
EXP_BET1 (10282),0.16975798563411626
EXP_NOTCH1 (4851),0.16975549359751518
EXP_DOT1L (84444),0.16974546442666671
EXP_FAM83F (113828),0.16974167578513466
EXP_SH3TC2 (79628),0.16973882140738006
EXP_LIF (3976),0.16973744006682967
EXP_ENTPD6 (955),0.1697373515128353
EXP_BLZF1 (8548),0.1697260951830586
EXP_SLC25A32 (81034),0.16972548805069376
EXP_LYPD6 (130574),0.16972054000898318
EXP_FANCD2OS (115795),0.16971939925746682
EXP_POLE3 (54107),0.16971771164853955
EXP_PMAIP1 (5366),0.1697172157940665
EXP_ZNF75A (7627),0.16971539305958494
EXP_EIF2S2 (8894),0.1697067103278398
EXP_CD160 (11126),0.16970306925652867
EXP_RNF215 (200312),0.1697018778041013
EXP_LAP3 (51056),0.16969905845639932
EXP_TPM4 (7171),0.16968977814398922
EXP_VTA1 (51534),0.169686599651933
EXP_MSANTD2 (79684),0.16967787048185645
EXP_MEAF6 (64769),0.1696761938301421
EXP_KMT5A (387893),0.1696677357734906
EXP_LYPD3 (27076),0.16966457579609795
EXP_PWWP2B (170394),0.16966409510562475
EXP_DOK4 (55715),0.16966228525333715
EXP_RAD9B (144715),0.16966038348931622
EXP_PARD3B (117583),0.16965810263940373
EXP_WDR46 (9277),0.16965771150604603
EXP_ZNF276 (92822),0.1696517656150407
EXP_CCDC88C (440193),0.1696499260743991
EXP_TBPL1 (9519),0.16964626004297223
EXP_CDKL2 (8999),0.16964460856946673
EXP_PPP1R7 (5510),0.16964301743903754
EXP_DBNDD1 (79007),0.16964235232508784
EXP_SERPINI1 (5274),0.1696364293982855
EXP_ACTL10 (170487),0.16963273675672763
