Pathway,Source,PathwayID
Creation Of C4 And C2 Activators R-HSA-166786,Reactome,306
Cristae Formation R-HSA-8949613,Reactome,307
Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973,Reactome,308
Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978,Reactome,309
Crosslinking Of Collagen Fibrils R-HSA-2243919,Reactome,310
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,Reactome,311
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,Reactome,312
Cyclin D Associated Events In G1 R-HSA-69231,Reactome,313
Cyclin E Associated Events During G1/S Transition R-HSA-69202,Reactome,314
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,Reactome,315
Cytochrome C-Mediated Apoptotic Response R-HSA-111461,Reactome,316
Cytokine Signaling In Immune System R-HSA-1280215,Reactome,317
Cytoprotection By HMOX1 R-HSA-9707564,Reactome,318
Cytosolic Iron-Sulfur Cluster Assembly R-HSA-2564830,Reactome,319
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949,Reactome,320
Cytosolic Sulfonation Of Small Molecules R-HSA-156584,Reactome,321
Cytosolic tRNA Aminoacylation R-HSA-379716,Reactome,322
DAG And IP3 Signaling R-HSA-1489509,Reactome,323
DAP12 Interactions R-HSA-2172127,Reactome,324
DAP12 Signaling R-HSA-2424491,Reactome,325
DARPP-32 Events R-HSA-180024,Reactome,326
DCC Mediated Attractive Signaling R-HSA-418885,Reactome,327
DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928,Reactome,328
DEx/H-box Helicases Activate Type I IFN And Inflammatory Cytokines Production R-HSA-3134963,Reactome,329
DNA Damage Bypass R-HSA-73893,Reactome,330
DNA Damage Recognition In GG-NER R-HSA-5696394,Reactome,331
DNA Damage Reversal R-HSA-73942,Reactome,332
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,333
DNA Double Strand Break Response R-HSA-5693606,Reactome,334
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,335
DNA Repair R-HSA-73894,Reactome,336
DNA Replication Pre-Initiation R-HSA-69002,Reactome,337
DNA Replication R-HSA-69306,Reactome,338
DNA Methylation R-HSA-5334118,Reactome,339
DNA Replication Initiation R-HSA-68952,Reactome,340
DNA Strand Elongation R-HSA-69190,Reactome,341
DSCAM Interactions R-HSA-376172,Reactome,342
Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402,Reactome,343
Deadenylation Of mRNA R-HSA-429947,Reactome,344
Deadenylation-dependent mRNA Decay R-HSA-429914,Reactome,345
Death Receptor Signaling R-HSA-73887,Reactome,346
Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761,Reactome,347
Dectin-2 Family R-HSA-5621480,Reactome,348
Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332,Reactome,349
Defective B3GALTL Causes PpS R-HSA-5083635,Reactome,350
Defective B3GAT3 Causes JDSSDHD R-HSA-3560801,Reactome,351
Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-3656244,Reactome,352
"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783",Reactome,353
Defective C1GALT1C1 Causes TNPS R-HSA-5083632,Reactome,354
Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,Reactome,355
"Defective CHST14 Causes EDS, Musculocontractural Type R-HSA-3595174",Reactome,356
Defective CHST3 Causes SEDCJD R-HSA-3595172,Reactome,357
Defective CHST6 Causes MCDC1 R-HSA-3656225,Reactome,358
Defective CHSY1 Causes TPBS R-HSA-3595177,Reactome,359
Defective CSF2RA Causes SMDP4 R-HSA-5688890,Reactome,360
"Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253",Reactome,361
Defective F9 Activation R-HSA-9673221,Reactome,362
Defective GALNT12 Causes CRCS1 R-HSA-5083636,Reactome,363
Defective GALNT3 Causes HFTC R-HSA-5083625,Reactome,364
Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,Reactome,365
Defective HLCS Causes Multiple Carboxylase Deficiency R-HSA-3371599,Reactome,366
